URL,Category,Primary Keyword / Title,FAQ Count,Section Count,Est. Word Count,Has Arabic Version,Source File
"/routes/jeddah-to-makkah","Route Pages (Intercity)","Jeddah to Makkah","0","0","119","Yes","data/routes.ts"
"/routes/makkah-to-madinah","Route Pages (Intercity)","Makkah to Madinah","0","0","102","No","data/routes.ts"
"/routes/madinah-to-makkah","Route Pages (Intercity)","Madinah to Makkah","0","0","104","No","data/routes.ts"
"/routes/jeddah-to-madinah","Route Pages (Intercity)","Jeddah to Madinah","0","0","100","No","data/routes.ts"
"/routes/riyadh-to-dammam","Route Pages (Intercity)","Riyadh to Dammam","0","0","102","No","data/routes.ts"
"/routes/dammam-to-riyadh","Route Pages (Intercity)","Dammam to Riyadh","0","0","96","No","data/routes.ts"
"/routes/riyadh-to-jeddah","Route Pages (Intercity)","Riyadh to Jeddah","0","0","101","No","data/routes.ts"
"/routes/riyadh-to-alula","Route Pages (Intercity)","Riyadh to AlUla","0","0","98","No","data/routes.ts"
"/routes/madinah-to-alula","Route Pages (Intercity)","Madinah to AlUla","0","0","96","No","data/routes.ts"
"/routes/jeddah-to-taif","Route Pages (Intercity)","Jeddah to Taif","0","0","87","No","data/routes.ts"
"/routes/makkah-to-jeddah","Route Pages (Intercity)","Makkah to Jeddah Taxi | Private Transfer","0","0","155","No","data/routes.ts"
"/routes/madinah-to-jeddah","Route Pages (Intercity)","Madinah to Jeddah Taxi | Private Transfer","0","0","149","No","data/routes.ts"
"/routes/taif-to-jeddah","Route Pages (Intercity)","Taif to Jeddah Taxi | Private Transfer","0","0","144","No","data/routes.ts"
"/routes/jeddah-to-yanbu","Route Pages (Intercity)","Jeddah to Yanbu Taxi | Private Transfer","0","0","148","No","data/routes.ts"
"/routes/yanbu-to-jeddah","Route Pages (Intercity)","Yanbu to Jeddah Taxi | Private Transfer","0","0","148","No","data/routes.ts"
"/routes/jeddah-to-kaec","Route Pages (Intercity)","Jeddah to KAEC Taxi | Private Transfer","0","0","159","No","data/routes.ts"
"/routes/kaec-to-jeddah","Route Pages (Intercity)","KAEC to Jeddah Taxi | Private Transfer","0","0","152","No","data/routes.ts"
"/routes/makkah-to-taif","Route Pages (Intercity)","Makkah to Taif Taxi | Private Transfer","6","3","732","No","data/routes.ts"
"/routes/taif-to-makkah","Route Pages (Intercity)","Taif to Makkah Taxi | Private Transfer","6","3","707","No","data/routes.ts"
"/routes/alula-to-tabuk","Route Pages (Intercity)","AlUla to Tabuk Taxi | Private Transfer","6","3","702","No","data/routes.ts"
"/routes/tabuk-to-alula","Route Pages (Intercity)","Tabuk to AlUla Taxi | Private Transfer","6","3","695","No","data/routes.ts"
"/routes/alula-to-neom","Route Pages (Intercity)","AlUla to NEOM Taxi | Private Transfer","6","4","798","No","data/routes.ts"
"/routes/neom-to-alula","Route Pages (Intercity)","NEOM to AlUla Taxi | Private Transfer","6","3","729","No","data/routes.ts"
"/routes/riyadh-to-khobar","Route Pages (Intercity)","Riyadh to Khobar Taxi | Private Highway Transfer (~4 Hours)","12","11","2194","Yes","data/routes.ts"
"/routes/khobar-to-riyadh","Route Pages (Intercity)","Khobar to Riyadh Taxi | Private Highway Transfer (~4 Hours)","12","11","1942","Yes","data/routes.ts"
"/routes/riyadh-to-jubail","Route Pages (Intercity)","Riyadh to Jubail Taxi | Private Transfer (~4h 45m)","12","10","1666","Yes","data/routes.ts"
"/routes/jubail-to-riyadh","Route Pages (Intercity)","Jubail to Riyadh Taxi | Private Transfer (~4h 45m)","12","11","1320","Yes","data/routes.ts"
"/routes/riyadh-to-hofuf","Route Pages (Intercity)","Riyadh to Hofuf Taxi | Private Transfer to Al-Ahsa (~3h 15m)","12","11","1394","Yes","data/routes.ts"
"/routes/hofuf-to-riyadh","Route Pages (Intercity)","Hofuf to Riyadh Taxi | Private Transfer from Al-Ahsa (~3h 15m)","12","11","1124","Yes","data/routes.ts"
"/routes/riyadh-to-qassim","Route Pages (Intercity)","Riyadh to Qassim Taxi | Private Transfer to Buraidah (~3h 30m)","12","11","1216","Yes","data/routes.ts"
"/routes/qassim-to-riyadh","Route Pages (Intercity)","Qassim to Riyadh Taxi | Private Transfer from Buraidah (~3h 30m)","12","11","1030","Yes","data/routes.ts"
"/routes/riyadh-to-hail","Route Pages (Intercity)","Riyadh to Hail Taxi | Private Long-Distance Transfer (~6h 30m)","12","11","1297","Yes","data/routes.ts"
