url,path,page_type,source,indexable,in_sitemap,dynamically_generated,cluster,notes
https://saudiprivatetransfers.com,,homepage,app/(main)/page.tsx,true,true,false,,
https://saudiprivatetransfers.com/services,/services,static-page,app/(main)/services/page.tsx,true,true,false,static,
https://saudiprivatetransfers.com/about,/about,static-page,app/(main)/about/page.tsx,true,true,false,static,
https://saudiprivatetransfers.com/contact,/contact,static-page,app/(main)/contact/page.tsx,true,true,false,static,
https://saudiprivatetransfers.com/get-quote,/get-quote,static-page,app/(main)/get-quote/page.tsx,true,true,false,static,
https://saudiprivatetransfers.com/blog,/blog,blog-listing,app/(main)/blog/page.tsx,true,true,false,blog,
https://saudiprivatetransfers.com/terms-and-conditions,/terms-and-conditions,static-page,app/(main)/terms-and-conditions/page.tsx,true,true,false,static,
https://saudiprivatetransfers.com/privacy-policy,/privacy-policy,static-page,app/(main)/privacy-policy/page.tsx,true,true,false,static,
https://saudiprivatetransfers.com/airport-transfers,/airport-transfers,service-page,data/services.ts + data/service-content/*.ts (static route file per service),true,true,false,services,
https://saudiprivatetransfers.com/city-transfers,/city-transfers,service-page,data/services.ts + data/service-content/*.ts (static route file per service),true,true,false,services,
https://saudiprivatetransfers.com/intercity-transfers,/intercity-transfers,service-page,data/services.ts + data/service-content/*.ts (static route file per service),true,true,false,services,
https://saudiprivatetransfers.com/border-transfers,/border-transfers,service-page,data/services.ts + data/service-content/*.ts (static route file per service),true,true,false,services,
https://saudiprivatetransfers.com/umrah-taxi-service,/umrah-taxi-service,service-page,data/services.ts + data/service-content/*.ts (static route file per service),true,true,false,services,
https://saudiprivatetransfers.com/hajj-transport-service,/hajj-transport-service,service-page,data/services.ts + data/service-content/*.ts (static route file per service),true,true,false,services,
https://saudiprivatetransfers.com/ziyarat-taxi-service,/ziyarat-taxi-service,service-page,data/services.ts + data/service-content/*.ts (static route file per service),true,true,false,services,
https://saudiprivatetransfers.com/services/hotel-transfers,/services/hotel-transfers,service-page,data/services.ts via app/(main)/services/hotel-transfers/page.tsx,true,true,false,services,
https://saudiprivatetransfers.com/taxi-service/riyadh,/taxi-service/riyadh,city-taxi-service,data/cities.ts via app/(main)/taxi-service/[city]/page.tsx,true,true,true,cities,
https://saudiprivatetransfers.com/taxi-service/jeddah,/taxi-service/jeddah,city-taxi-service,data/cities.ts via app/(main)/taxi-service/[city]/page.tsx,true,true,true,cities,
https://saudiprivatetransfers.com/taxi-service/makkah,/taxi-service/makkah,city-taxi-service,data/cities.ts via app/(main)/taxi-service/[city]/page.tsx,true,true,true,cities,
https://saudiprivatetransfers.com/taxi-service/madinah,/taxi-service/madinah,city-taxi-service,data/cities.ts via app/(main)/taxi-service/[city]/page.tsx,true,true,true,cities,
https://saudiprivatetransfers.com/taxi-service/dammam,/taxi-service/dammam,city-taxi-service,data/cities.ts via app/(main)/taxi-service/[city]/page.tsx,true,true,true,cities,
https://saudiprivatetransfers.com/taxi-service/khobar,/taxi-service/khobar,city-taxi-service,data/cities.ts via app/(main)/taxi-service/[city]/page.tsx,true,true,true,cities,
https://saudiprivatetransfers.com/taxi-service/jubail,/taxi-service/jubail,city-taxi-service,data/cities.ts via app/(main)/taxi-service/[city]/page.tsx,true,true,true,cities,
https://saudiprivatetransfers.com/taxi-service/taif,/taxi-service/taif,city-taxi-service,data/cities.ts via app/(main)/taxi-service/[city]/page.tsx,true,true,true,cities,
https://saudiprivatetransfers.com/taxi-service/abha,/taxi-service/abha,city-taxi-service,data/cities.ts via app/(main)/taxi-service/[city]/page.tsx,true,true,true,cities,
https://saudiprivatetransfers.com/taxi-service/tabuk,/taxi-service/tabuk,city-taxi-service,data/cities.ts via app/(main)/taxi-service/[city]/page.tsx,true,true,true,cities,
https://saudiprivatetransfers.com/taxi-service/alula,/taxi-service/alula,city-taxi-service,data/cities.ts via app/(main)/taxi-service/[city]/page.tsx,true,true,true,cities,
https://saudiprivatetransfers.com/taxi-service/yanbu,/taxi-service/yanbu,city-taxi-service,data/cities.ts via app/(main)/taxi-service/[city]/page.tsx,true,true,true,cities,
https://saudiprivatetransfers.com/taxi-service/hail,/taxi-service/hail,city-taxi-service,data/cities.ts via app/(main)/taxi-service/[city]/page.tsx,true,true,true,cities,
https://saudiprivatetransfers.com/taxi-service/najran,/taxi-service/najran,city-taxi-service,data/cities.ts via app/(main)/taxi-service/[city]/page.tsx,true,true,true,cities,
https://saudiprivatetransfers.com/taxi-service/jazan,/taxi-service/jazan,city-taxi-service,data/cities.ts via app/(main)/taxi-service/[city]/page.tsx,true,true,true,cities,
https://saudiprivatetransfers.com/taxi-service/buraidah,/taxi-service/buraidah,city-taxi-service,data/cities.ts via app/(main)/taxi-service/[city]/page.tsx,true,true,true,cities,
https://saudiprivatetransfers.com/taxi-service/hofuf,/taxi-service/hofuf,city-taxi-service,data/cities.ts via app/(main)/taxi-service/[city]/page.tsx,true,true,true,cities,
https://saudiprivatetransfers.com/taxi-service/al-ahsa,/taxi-service/al-ahsa,city-taxi-service,data/cities.ts via app/(main)/taxi-service/[city]/page.tsx,true,true,true,cities,
https://saudiprivatetransfers.com/taxi-service/khamis-mushait,/taxi-service/khamis-mushait,city-taxi-service,data/cities.ts via app/(main)/taxi-service/[city]/page.tsx,true,true,true,cities,
https://saudiprivatetransfers.com/airport-transfer/riyadh-airport,/airport-transfer/riyadh-airport,airport-transfer,data/airports.ts via app/(main)/airport-transfer/[airport]/page.tsx,true,true,true,airports,
https://saudiprivatetransfers.com/airport-transfer/jeddah-airport,/airport-transfer/jeddah-airport,airport-transfer,data/airports.ts via app/(main)/airport-transfer/[airport]/page.tsx,true,true,true,airports,
https://saudiprivatetransfers.com/airport-transfer/madinah-airport,/airport-transfer/madinah-airport,airport-transfer,data/airports.ts via app/(main)/airport-transfer/[airport]/page.tsx,true,true,true,airports,
https://saudiprivatetransfers.com/airport-transfer/dammam-airport,/airport-transfer/dammam-airport,airport-transfer,data/airports.ts via app/(main)/airport-transfer/[airport]/page.tsx,true,true,true,airports,
https://saudiprivatetransfers.com/airport-transfer/taif-airport,/airport-transfer/taif-airport,airport-transfer,data/airports.ts via app/(main)/airport-transfer/[airport]/page.tsx,true,true,true,airports,
https://saudiprivatetransfers.com/airport-transfer/abha-airport,/airport-transfer/abha-airport,airport-transfer,data/airports.ts via app/(main)/airport-transfer/[airport]/page.tsx,true,true,true,airports,
https://saudiprivatetransfers.com/airport-transfer/tabuk-airport,/airport-transfer/tabuk-airport,airport-transfer,data/airports.ts via app/(main)/airport-transfer/[airport]/page.tsx,true,true,true,airports,
https://saudiprivatetransfers.com/airport-transfer/yanbu-airport,/airport-transfer/yanbu-airport,airport-transfer,data/airports.ts via app/(main)/airport-transfer/[airport]/page.tsx,true,true,true,airports,
https://saudiprivatetransfers.com/airport-transfer/alula-airport,/airport-transfer/alula-airport,airport-transfer,data/airports.ts via app/(main)/airport-transfer/[airport]/page.tsx,true,true,true,airports,
https://saudiprivatetransfers.com/airport-transfer/jazan-airport,/airport-transfer/jazan-airport,airport-transfer,data/airports.ts via app/(main)/airport-transfer/[airport]/page.tsx,true,true,true,airports,
https://saudiprivatetransfers.com/airport-transfer/hail-airport,/airport-transfer/hail-airport,airport-transfer,data/airports.ts via app/(main)/airport-transfer/[airport]/page.tsx,true,true,true,airports,
https://saudiprivatetransfers.com/airport-transfer/red-sea-airport,/airport-transfer/red-sea-airport,airport-transfer,data/airports.ts via app/(main)/airport-transfer/[airport]/page.tsx,true,true,true,airports,
https://saudiprivatetransfers.com/airport-transfer/neom-bay-airport,/airport-transfer/neom-bay-airport,airport-transfer,data/airports.ts via app/(main)/airport-transfer/[airport]/page.tsx,true,true,true,airports,
https://saudiprivatetransfers.com/routes/jeddah-to-makkah,/routes/jeddah-to-makkah,commercial-route,"data/routes.ts (+ makkah-routes.ts, dammam-routes.ts) via app/(main)/routes/[slug]/page.tsx",true,true,true,routes,
https://saudiprivatetransfers.com/routes/makkah-to-madinah,/routes/makkah-to-madinah,commercial-route,"data/routes.ts (+ makkah-routes.ts, dammam-routes.ts) via app/(main)/routes/[slug]/page.tsx",true,true,true,routes,
https://saudiprivatetransfers.com/routes/madinah-to-makkah,/routes/madinah-to-makkah,commercial-route,"data/routes.ts (+ makkah-routes.ts, dammam-routes.ts) via app/(main)/routes/[slug]/page.tsx",true,true,true,routes,
https://saudiprivatetransfers.com/routes/jeddah-to-madinah,/routes/jeddah-to-madinah,commercial-route,"data/routes.ts (+ makkah-routes.ts, dammam-routes.ts) via app/(main)/routes/[slug]/page.tsx",true,true,true,routes,
https://saudiprivatetransfers.com/routes/riyadh-to-dammam,/routes/riyadh-to-dammam,commercial-route,"data/routes.ts (+ makkah-routes.ts, dammam-routes.ts) via app/(main)/routes/[slug]/page.tsx",true,true,true,routes,
https://saudiprivatetransfers.com/routes/dammam-to-riyadh,/routes/dammam-to-riyadh,commercial-route,"data/routes.ts (+ makkah-routes.ts, dammam-routes.ts) via app/(main)/routes/[slug]/page.tsx",true,true,true,routes,
https://saudiprivatetransfers.com/routes/riyadh-to-jeddah,/routes/riyadh-to-jeddah,commercial-route,"data/routes.ts (+ makkah-routes.ts, dammam-routes.ts) via app/(main)/routes/[slug]/page.tsx",true,true,true,routes,
https://saudiprivatetransfers.com/routes/riyadh-to-alula,/routes/riyadh-to-alula,commercial-route,"data/routes.ts (+ makkah-routes.ts, dammam-routes.ts) via app/(main)/routes/[slug]/page.tsx",true,true,true,routes,
https://saudiprivatetransfers.com/routes/madinah-to-alula,/routes/madinah-to-alula,commercial-route,"data/routes.ts (+ makkah-routes.ts, dammam-routes.ts) via app/(main)/routes/[slug]/page.tsx",true,true,true,routes,
https://saudiprivatetransfers.com/routes/jeddah-to-taif,/routes/jeddah-to-taif,commercial-route,"data/routes.ts (+ makkah-routes.ts, dammam-routes.ts) via app/(main)/routes/[slug]/page.tsx",true,true,true,routes,
https://saudiprivatetransfers.com/routes/khobar-to-bahrain,/routes/khobar-to-bahrain,commercial-route,"data/routes.ts (+ makkah-routes.ts, dammam-routes.ts) via app/(main)/routes/[slug]/page.tsx",true,true,true,routes,
https://saudiprivatetransfers.com/routes/dammam-to-bahrain,/routes/dammam-to-bahrain,commercial-route,"data/routes.ts (+ makkah-routes.ts, dammam-routes.ts) via app/(main)/routes/[slug]/page.tsx",true,true,true,routes,
https://saudiprivatetransfers.com/routes/riyadh-to-qatar-border,/routes/riyadh-to-qatar-border,commercial-route,"data/routes.ts (+ makkah-routes.ts, dammam-routes.ts) via app/(main)/routes/[slug]/page.tsx",true,true,true,routes,
https://saudiprivatetransfers.com/routes/dammam-airport-to-khobar,/routes/dammam-airport-to-khobar,commercial-route,"data/routes.ts (+ makkah-routes.ts, dammam-routes.ts) via app/(main)/routes/[slug]/page.tsx",true,true,true,routes,
https://saudiprivatetransfers.com/routes/makkah-to-jeddah,/routes/makkah-to-jeddah,commercial-route,"data/routes.ts (+ makkah-routes.ts, dammam-routes.ts) via app/(main)/routes/[slug]/page.tsx",true,true,true,routes,
https://saudiprivatetransfers.com/routes/madinah-to-jeddah,/routes/madinah-to-jeddah,commercial-route,"data/routes.ts (+ makkah-routes.ts, dammam-routes.ts) via app/(main)/routes/[slug]/page.tsx",true,true,true,routes,
